categories;participants;day
U21 Jiu-Jitsu Female -57kg;7;7
U21 Jiu-Jitsu Female -63kg;11;7
U21 Jiu-Jitsu Female -70kg;3;7
U21 Jiu-Jitsu Female +70kg;3;7
U21 Jiu-Jitsu Male -56kg;11;7
U21 Jiu-Jitsu Male -62kg;13;7
U21 Jiu-Jitsu Male -69kg;16;7
U21 Jiu-Jitsu Male -77kg;13;7
U21 Jiu-Jitsu Male -85kg;12;7
U21 Jiu-Jitsu Male -94kg;4;7
U21 Jiu-Jitsu Male +94kg;4;7
U21 Duo Female;2;5
U21 Duo Male;5;5
U21 Duo Mixed;3;6
U21 Fighting Female -45kg;8;3
U21 Fighting Female -48kg;4;3
U21 Fighting Female -52kg;6;3
U21 Fighting Female -57kg;10;3
U21 Fighting Female -63kg;13;3
U21 Fighting Female -70kg;7;3
U21 Fighting Female +70kg;2;3
U21 Fighting Male -56kg;9;3
U21 Fighting Male -62kg;18;3
U21 Fighting Male -69kg;18;3
U21 Fighting Male -77kg;17;3
U21 Fighting Male -85kg;10;3
U21 Fighting Male -94kg;6;3
U21 Fighting Male +94kg;3;3
U21 Show Female;0;6
U21 Show Male;2;6
U21 Show Mixed;2;5
